ID,Categoría,Nombre,Costo,Proveedor,Unidad,Control de Stock,Stock,Merma
198,Lácteos,Queso manchego Rebanada,3.5,Aurrera,unid.,Si,13.0,0.0
108,Lácteos,Queso Mozzarella,122.0,Sigma Foodservice,kg,Si,-30.495,7.0
139,Lácteos,Queso Panela,137.0,Aurrera,kg,No,,7.0
317,Lácteos,Rebanada Queso Amarillo,2.94,Aurrera,unid.,Si,13.0,
97,Lácteos,Santa Clara Vainilla 200ml,5.0,Tienda Abarrotes,unid.,Si,,
257,Mermeladas,Manga cereza negra - Estrali 1Kg,41.0,Todo para el panadero,kg,Si,0.892,3.0
258,Mermeladas,Manga crema pastelera - Lastur 1kg,28.0,Todo para el panadero,kg,Si,1.0,3.0
259,Mermeladas,Manga mermelada fresa - 1kg,36.0,Todo para el panadero,kg,Si,0.892,3.0
260,Mermeladas,Manga mermelada frutos rojos - 1kg,38.0,Todo para el panadero,kg,Si,1.0,3.0
261,Mermeladas,Manga mermelada zarzamora - 1kg,39.0,Todo para el panadero,kg,Si,1.0,3.0
62,Papel de empaque,Papel alimenticio,50.0,TD Empaques,kg,Si,-3.288,
148,Papel de empaque,PAPEL DIA DE MUERTOS,100.0,TD Empaques,kg,Si,0.5,1.0
149,Papel de empaque,PELICULA 600 INIX (CLR-600),120.0,TD Empaques,unid.,Si,1.0,1.0
89,Papel de empaque,Rollo Aluminio,0.61,TD Empaques,unid.,Si,-1293.0,
110,Perlas y Tapioca,Miel mapple,192.0,3B,L,Si,-2.572,5.0
240,Perlas y Tapioca,Perlas Explosivas Chocolate - Tea Zone 3.2Kg,175.0,Tea Zone,kg,Si,,10.0
77,Perlas y Tapioca,Tapioca,91.48,,kg,Si,,
42,Refrescos,Agua Mineral Peñafiel 2L,13.5,Tienda Abarrotes,L,No,4.0,
302,Refrescos,Arizona Kiwi Fresa,15.25,Sam's Club,unid.,Si,0.0,
301,Refrescos,ARIZONA Mango (591ml),15.25,Sam's Club,unid.,Si,-4.0,
303,Refrescos,Arizona Sandía 591ml,16.0,Sam's Club,unid.,Si,-4.0,
306,Refrescos,Refresco Coca-Cola 32 pzas de 355 ml,17.91,Sam's Club,unid.,Si,18.0,0.0
105,Refrescos,Sangria 400ml,7.0,Central Tultitlán,unid.,Si,,
348,Salsas alitas,Aderezo Mostaza Miel - Custom Culinary,92.5,Custom Culinary,L,Si,,7.0
95,Salsas alitas,BBQ a la Diabla Salsa - L Sirope,58.0,TD Empaques,L,Si,-2.906,2.0
35,Salsas alitas,BBQ Habanero Salsa - L Mr Wings,71.05,Mr Wings,L,Si,-1.59,7.0
338,Salsas alitas,BBQ L - Custom Culinary,55.06,Custom Culinary,L,Si,3.785,7.0
324,Salsas alitas,BBQ Salsa L - Hunts,67.8,Sam's Club,L,Si,-37.25,7.0
6,Salsas alitas,BBQ Salsa - L Mr Wings,48.79,Mr Wings,L,Si,0.0,7.0
340,Salsas alitas,BBQ Smoky - L Custom Culinary,0.0,MERCADO LIBRE,kg,Si,,7.0
244,Salsas alitas,Bufalo para alitas Salsa (mr wings champ) - L Mr Wings,56.84,Mr Wings,L,Si,0.684,7.0
59,Salsas alitas,Bufalo Salsa - L Sirope,58.0,TD Empaques,L,Si,-3.06,5.0
326,Salsas alitas,Buffalo - L Custom Culinary,0.0,,L,Si,1.5,7.0
23,Salsas alitas,Cajún estilo Louisiana Salsa - L Mr Wings,70.79,Mr Wings,L,Si,0.23,7.0
96,Salsas alitas,Extra hot salsa - L Mr Wings,73.42,Mr Wings,L,Si,2.83,7.0
57,Salsas alitas,Flamin Hot Salsa - L Sirope,58.0,TD Empaques,L,Si,-1.3,
56,Salsas alitas,Fresa Hot Salsa - L Sirope,58.0,TD Empaques,L,Si,-4.3,
58,Salsas alitas,Jalapeño Hot (Hot Jalapeño) - L Sirope,58.0,TD Empaques,L,Si,-0.72,
55,Salsas alitas,Lemon Pepper Salsa - L Custom Culinary,107.87,Custom Culinary,L,Si,-10.693,7.0
253,Salsas alitas,Louisiana Salsa - L -Hot Bull,78.76,Maprica,L,Si,3.7,7.0
76,Salsas alitas,Mango Guajillo Salsa - L Sirope,58.0,TD Empaques,L,Si,2.1,
252,Salsas alitas,Mango Habanero Salsa - L Custom Culinary,83.15,Maprica,L,Si,8.37,7.0
13,Salsas alitas,Mango Habanero Salsa - L Mr Wings,57.11,Mr Wings,L,Si,-5.88,7.0
9,Salsas alitas,Mango Hot Salsa - L Mr Wings,60.53,Mr Wings,L,Si,-0.06,7.0
7,Salsas alitas,Mezcal Salsa - L Mr Wings,73.68,Mr Wings,L,No,3.11,7.0
27,Salsas alitas,Naranja con Chipotle Salsa - L Mr Wings,71.05,Mr Wings,L,No,,7.0
34,Salsas alitas,Oriental Sriracha Salsa - L Mr Wings,104.65,Mr Wings,L,No,,7.0
11,Salsas alitas,Oriental Teriyaki Salsa - L Mr Wings,68.42,Mr Wings,L,Si,0.65,7.0
21,Salsas alitas,Original Hot Salsa - L Mr Wings,52.63,Mr Wings,L,Si,-0.12,7.0
94,Salsas alitas,Pelon Pero Rico Salsa - L Sirope,58.0,TD Empaques,L,Si,2.4,
362,Salsas alitas,PIÑA GUAJILLO,0.0,,fl oz,Si,,
15,Salsas alitas,Ranch Aderezo - L,65.85,Mr Wings,L,Si,-15.638,7.0
332,Salsas alitas,Salsa Chetos - L Sirope,58.0,,L,Si,1.0,
28,Salsas alitas,Salsa para Alitas RedHot Buffalo L,58.73,Sam's Club,L,Si,-16.83,
331,Salsas alitas,Salsa Ranchertios - L Sirope,58.0,,L,Si,1.0,7.0
330,Salsas alitas,Tamarindo  3 chiles - L Sirope,58.0,,L,Si,1.0,
19,Salsas alitas,Tamarindo Natural Salsa - L Mr Wings,71.05,Mr Wings,L,Si,-1.77,5.0
