Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
653,Licuados & Malteadas,SMO_MA,SMOOTHIE MANGO,0.0,unid.,,,,,,,
114,Licuados & Malteadas,,VAINILLA MALTEADAS,,,,,,,,,
552,Modificadores genéricos,,CHAI CLÁSICO BOBAH TEAH,,,,,,,,,
492,Modificadores genéricos,,GRANILLO CAPPUCCINO - Decoración crepa,139.0,unid.,,,,,,,
491,Modificadores genéricos,,GRANILLO FRESA - Decoración crepa,254.0,unid.,,,,,,,
543,Modificadores genéricos,,JAMÓN - RAMEN,0.0,unid.,,,,,,,
671,Modificadores genéricos,,VERDURAS - RAMEN,,,,,,,,,
681,Mojito,,AMORE MIO - MOJITO,,,,,,,,,
682,Mojito,,BLUE BUTTERFLY - MOJITO,,,,,,,,,
684,Mojito,,MANGO GO - MOJITO,,,,,,,,,
863,Postres,,PERLAS DE SANDIA,,,,,,,,,
872,Ramen y más,,BULKDAK TACO,,,,,,,,,
527,Ramen y más,,Hot Chicken 3X 🔥🔥🔥🔥🔥🔥,,,,,,,,,
873,Ramen y más,,MAMA OK CARBONARA FLAVOR,,,,,,,,,
889,Ramen y más,,PALDO KOKOMEN,,,,,,,,,
860,Ramen y más,,RAMEN BULDAK SWICY,,,,,,,,0.0,
355,Ramen y más,,RAMEN CARBONARA - BULDAK,0.0,unid.,,,5.0,unid.,ML - TOYO FOODS,27.6,
807,Ramen y más,,RAMEN CARBONARA VOLCANO - Paldo,0.0,unid.,,,,,MEGAFOOD,27.6,
691,Ramen y más,,RAMEN CHEESE - OTTOGI,0.0,unid.,,,5.0,unid.,,40.0,
441,Ramen y más,,RAMEN CREAM CARBONARA - BULDAK,0.0,unid.,,,5.0,unid.,Diposa INC,,
832,Ramen y más,,RAMEN Habanero limón  - BULDAK,12.0,unid.,12.0,unid.,5.0,unid.,,,
193,Ramen y más,,RAMEN HOT CHICKEN 2X - BULDAK,8.0,unid.,,,5.0,unid.,,39.0,
192,Ramen y más,,RAMEN HOT CHICKEN - BULDAK,10.0,unid.,,,5.0,unid.,ML - TOYO FOODS,39.93,
194,Ramen y más,,RAMEN HOT CHICKEN CHEESE - BULDAK,3.0,unid.,,,5.0,unid.,,29.95,
648,Ramen y más,,RAMEN KIMCHI - OTTOGI,0.0,unid.,,,3.0,unid.,,,
739,Ramen y más,,RAMEN KIMCHI - PALDO,21.0,unid.,,,,,Asiaon Mart,33.25,
425,Ramen y más,,RAMEN KIMCHI - SAMYANG,0.0,unid.,,,5.0,unid.,,30.0,
